﻿Host Information,,,,,,,,,,,,,,,,,,,
1,10.0.1.1,10.0.1.1,,,,,,,,,,,,,,,,,
2,,-,,,,,,,,,,,,,,,,,
3,crr02wrcsma-tge-0-1-0-0.wrcs.ma.charter.com,96.34.87.105,,,,,,,,,,,,,,,,,
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212,,,,,,,,,,,,,,,,,
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142,,,,,,,,,,,,,,,,,
6,bbr01nwtwct-bue-4.nwtw.ct.charter.com,96.34.0.51,,,,,,,,,,,,,,,,,
7,bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com,96.34.0.137,,,,,,,,,,,,,,,,,
8,prr01ashbva-bue-6.ashb.va.charter.com,96.34.3.89,,,,,,,,,,,,,,,,,
9,ae-10.edge5.WashingtonDC12.Level3.net,4.68.62.61,,,,,,,,,,,,,,,,,
10,ae-1-3113.ear2.London1.Level3.net,4.69.132.138,,,,,,,,,,,,,,,,,
11,ae0-3356.lon10.core-backbone.com,212.113.8.42,,,,,,,,,,,,,,,,,
12,ae10-2021.fra20.core-backbone.com,80.255.14.6,,,,,,,,,,,,,,,,,
13,core-backbone.hetzner.com,80.255.15.122,,,,,,,,,,,,,,,,,
14,core11.nbg1.hetzner.com,213.239.224.237,,,,,,,,,,,,,,,,,
15,static.85-10-228-86.clients.your-server.de,85.10.228.86,,,,,,,,,,,,,,,,,
16,,-,,,,,,,,,,,,,,,,,
17,11817.your-cloud.host,116.203.160.4,,,,,,,,,,,,,,,,,
18,,-,,,,,,,,,,,,,,,,,
19,www.tablemountain.net,195.201.98.191,,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,,,,,,,,,,,,
2020-06-26 14:55:58Z,1.15,*,13.92,11.04,17.4,21.18,30.24,22.26,20.63,*,108.47,108.23,109.1,111.25,113.61,*,112.06,*,110.61
2020-06-26 14:56:00Z,1.5,*,10.37,11.38,11.2,14.95,25.3,21.58,21.54,*,106.67,107.73,111.45,117.82,112.34,*,114.68,*,109.62
2020-06-26 14:56:03Z,1.38,*,10.05,12.48,13.42,14.47,27.17,21.79,26.95,*,107.66,108.72,111.11,122.86,111.87,*,111.62,*,110.58
2020-06-26 14:56:05Z,0.75,*,10.54,14.32,16.69,15.13,23.13,63.58,22.59,*,111.61,108.02,110.43,115.44,112.95,*,126.74,*,109.84
2020-06-26 14:56:08Z,1.46,*,11.16,10.92,11.98,16.93,25.89,21.72,22.77,*,107.54,108.01,108.97,112.66,112.48,*,113.25,*,110.35
2020-06-26 14:56:10Z,0.61,*,11.85,10.49,15.53,16.55,28.92,22.18,22.29,*,108.2,109.2,113.08,112.91,114.09,*,116.13,*,109.99
2020-06-26 14:56:13Z,1.06,*,9.77,20.91,16.06,20.82,21.79,30.87,22.87,*,108.1,113.12,115.6,111.87,112.93,*,116.62,*,112.96
2020-06-26 14:56:15Z,1.25,*,11.02,10.78,19.8,18.2,25.81,85.42,21.5,*,109.56,112.53,109.66,113.34,113.13,*,112.55,*,110.3
2020-06-26 14:56:18Z,0.29,*,11.07,12.1,15.83,15.49,28.43,20.29,35.68,*,108.83,107.22,108.34,113.34,113.14,*,120.47,*,110.24
2020-06-26 14:56:20Z,1.31,*,10.55,10.26,16.58,17.6,22.63,22.78,23.91,*,109.86,109.74,109.47,113.13,113.13,*,112.86,*,108.41
2020-06-26 14:56:23Z,1.5,*,14.43,11.62,13.26,16.48,25.37,32.33,23.16,*,106.38,110.09,126.29,117.22,119.33,*,120.18,*,110.42
2020-06-26 14:56:25Z,0.94,*,11.71,15.28,16.92,21.3,28.75,20.61,21.7,*,115.46,115.14,112.27,113.66,119.71,*,111.66,*,110.19
2020-06-26 14:56:28Z,0.35,*,11.58,10.81,17.87,19.24,31.08,21.74,27.81,*,107.44,107.21,110.45,111.84,112.3,*,113.77,*,114.82
2020-06-26 14:56:30Z,0.5,*,15.34,12.57,22.43,15.93,27.54,22.24,21.06,*,112.87,110.15,159.8,116.86,114.65,*,119.81,*,114.59
2020-06-26 14:56:33Z,1.1,*,12.35,16.36,16.69,17.77,37.48,24.01,23.11,*,109.21,111.66,122.96,114.82,114.97,*,115.09,*,115.13
2020-06-26 14:56:35Z,0.33,*,10.29,12.87,21.01,29.88,26.35,24.55,30.8,*,117.85,110.85,121.14,113.28,120.62,*,122.06,*,125.95
